symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,30-10-2025,271.99,274.14,268.48,271.4,69886534,-0.59,-0.21692,271.5025
AAPL,29-10-2025,269.27,271.41,267.11,269.7,51086742,0.425,0.15969,269.3725
AAPL,28-10-2025,268.99,269.89,268.15,269,41534800,0.015,0.00371761,269.0075
AAPL,27-10-2025,264.88,269.12,264.65,268.81,44888200,3.93,1.48,266.865
AAPL,24-10-2025,261.19,264.13,259.18,262.82,38253717,1.63,0.62407,261.83
AAPL,23-10-2025,259.94,260.62,258.01,259.58,32754941,-0.36,-0.13849,259.5375
AAPL,22-10-2025,262.65,262.85,255.43,258.45,45015300,-4.2,-1.6,259.845
AAPL,21-10-2025,261.88,265.29,261.83,262.77,46695948,0.89,0.33985,262.9425
AAPL,20-10-2025,255.89,264.38,255.63,262.24,90483029,6.36,2.48,259.535
AAPL,17-10-2025,248.02,253.38,247.27,252.29,49147000,4.27,1.72,250.24
AAPL,16-10-2025,248.25,249.04,245.13,247.45,39777000,-0.8,-0.32226,247.4675
AAPL,15-10-2025,249.49,251.82,247.47,249.34,33893611,-0.145,-0.06012265,249.53
AAPL,14-10-2025,246.6,248.85,244.7,247.77,35478000,1.17,0.47445,246.98
AAPL,13-10-2025,249.38,249.69,245.56,247.66,38142942,-1.72,-0.68971,248.0725
AAPL,10-10-2025,254.94,256.38,244,245.27,61999100,-9.67,-3.79,250.1475
AAPL,09-10-2025,257.81,258,253.14,254.04,38322012,-3.77,-1.46,255.7475
AAPL,08-10-2025,256.52,258.52,256.11,258.06,36496900,1.54,0.60034,257.3025
AAPL,07-10-2025,256.81,257.4,255.43,256.48,31955800,-0.325,-0.1285,256.53
AAPL,06-10-2025,257.99,259.07,255.05,256.69,44664118,-1.3,-0.5039,257.2
AAPL,03-10-2025,254.67,259.24,253.95,258.02,49155614,3.35,1.32,256.47
AAPL,02-10-2025,256.58,258.18,254.15,257.13,42630239,0.555,0.21436,256.51
AAPL,01-10-2025,255.04,258.79,254.93,255.45,48713940,0.41,0.16076,256.0525
AAPL,30-09-2025,254.86,255.92,253.11,254.63,37704300,-0.225,-0.09024563,254.63
AAPL,29-09-2025,254.56,255,253.01,254.43,40127700,-0.13,-0.05106851,254.25
